obs_date,store_no,city,country,temp_max_c,temp_min_c,precipitation_mm,condition
2023-01-10,56123,Bangalore,India,24.5,17.3,2.3,CLOUDY
2023-01-10,58745,Ahmedabad,India,23.7,13.5,0.0,SUNNY
2023-01-10,62003,Delhi,India,16.2,7.3,0.0,SUNNY
2023-01-10,64301,Chandigarh,India,17.5,9.6,0.0,PARTLY_CLOUDY
2023-01-10,66782,Mumbai,India,26.3,15.2,3.9,CLOUDY
2023-01-10,70001,Los Angeles,USA,15.4,8.8,2.8,CLOUDY
2023-01-10,70002,Minneapolis,USA,-3.3,-14.0,0.0,SUNNY
2023-01-10,70003,Dallas,USA,13.3,8.1,0.0,SUNNY
2023-01-10,70004,Washington DC,USA,6.8,-0.1,6.0,RAINY
2023-01-10,70005,Philadelphia,USA,1.2,-9.9,0.0,SNOWY
2023-01-10,80001,London,UK,5.4,-0.6,0.0,SUNNY
2023-01-10,80002,London,UK,9.1,1.5,0.0,SUNNY
2023-01-10,80003,Manchester,UK,6.7,-0.9,0.0,SUNNY
2023-01-10,80004,Sheffield,UK,10.8,4.7,0.0,SUNNY
2023-01-10,90001,Dubai,UAE,23.7,14.0,0.0,SUNNY
2023-01-10,90002,Dubai,UAE,23.9,16.0,0.0,SUNNY
2023-01-10,90003,Abu Dhabi,UAE,21.5,15.7,0.0,PARTLY_CLOUDY
2023-01-10,95001,Singapore,Singapore,29.3,20.6,2.1,CLOUDY
2023-01-10,95002,Singapore,Singapore,31.8,26.4,1.1,CLOUDY
2023-01-11,33487,Kolkata,India,20.9,12.2,5.4,RAINY
2023-01-11,39876,Mumbai,India,24.9,17.4,16.1,RAINY
2023-01-11,41203,Delhi,India,15.6,8.4,0.0,PARTLY_CLOUDY
2023-01-11,44512,Bangalore,India,21.4,11.4,0.0,SUNNY
2023-01-11,47889,Chennai,India,34.6,28.4,0.0,PARTLY_CLOUDY
2023-01-11,51234,Hyderabad,India,27.9,17.1,0.0,SUNNY
2023-01-11,53901,Kochi,India,28.7,20.7,1.1,CLOUDY
2023-01-11,56123,Bangalore,India,21.7,11.5,3.9,CLOUDY
2023-01-11,58745,Ahmedabad,India,22.4,14.9,0.0,SUNNY
2023-01-11,62003,Delhi,India,20.5,9.8,0.5,CLOUDY
2023-01-11,64301,Chandigarh,India,17.4,7.8,8.5,RAINY
2023-01-11,66782,Mumbai,India,28.1,17.8,0.0,PARTLY_CLOUDY
2023-01-11,70001,Los Angeles,USA,17.5,8.0,0.0,PARTLY_CLOUDY
2023-01-11,70002,Minneapolis,USA,-1.5,-12.5,0.0,SNOWY
2023-01-11,70003,Dallas,USA,12.9,5.8,0.2,CLOUDY
2023-01-11,70004,Washington DC,USA,4.8,-2.4,0.0,SUNNY
2023-01-11,70005,Philadelphia,USA,3.2,-6.3,0.0,SNOWY
2023-01-11,80001,London,UK,7.4,-1.8,0.0,SUNNY
2023-01-11,80002,London,UK,11.7,0.4,0.0,SUNNY
2023-01-11,80003,Manchester,UK,6.4,-3.2,2.0,CLOUDY
2023-01-11,80004,Sheffield,UK,5.7,-5.6,0.0,SUNNY
2023-01-11,90001,Dubai,UAE,19.7,14.1,0.0,SUNNY
2023-01-11,90002,Dubai,UAE,19.1,11.0,0.0,SUNNY
2023-01-11,90003,Abu Dhabi,UAE,23.3,15.8,0.0,PARTLY_CLOUDY
2023-01-11,95001,Singapore,Singapore,30.1,20.9,0.0,SUNNY
2023-01-11,95002,Singapore,Singapore,29.0,21.7,7.3,RAINY
2023-01-12,33487,Kolkata,India,19.1,7.3,0.0,SUNNY
2023-01-12,39876,Mumbai,India,31.8,24.5,1.4,CLOUDY
2023-01-12,41203,Delhi,India,20.1,12.4,0.0,SUNNY
2023-01-12,44512,Bangalore,India,22.2,15.0,7.6,RAINY
2023-01-12,47889,Chennai,India,29.6,19.4,0.0,SUNNY
2023-01-12,51234,Hyderabad,India,28.6,22.9,0.0,SUNNY
2023-01-12,53901,Kochi,India,29.5,23.2,3.0,CLOUDY
2023-01-12,56123,Bangalore,India,23.9,18.4,0.0,SUNNY
2023-01-12,58745,Ahmedabad,India,25.0,14.8,0.0,SUNNY
2023-01-12,62003,Delhi,India,14.2,6.8,0.0,SUNNY
2023-01-12,64301,Chandigarh,India,13.9,7.6,0.0,SUNNY
2023-01-12,66782,Mumbai,India,25.3,14.6,5.3,RAINY
2023-01-12,70001,Los Angeles,USA,15.3,7.2,0.0,SUNNY
2023-01-12,70002,Minneapolis,USA,-6.4,-16.9,0.8,CLOUDY
2023-01-12,70003,Dallas,USA,11.2,1.5,0.0,PARTLY_CLOUDY
2023-01-12,70004,Washington DC,USA,4.5,-3.7,1.9,CLOUDY
2023-01-12,70005,Philadelphia,USA,8.2,-2.4,1.2,CLOUDY
2023-01-12,80001,London,UK,6.6,-4.5,0.0,SUNNY
2023-01-12,80002,London,UK,6.2,0.3,0.4,CLOUDY
2023-01-12,80003,Manchester,UK,8.7,0.1,0.0,SUNNY
2023-01-12,80004,Sheffield,UK,6.7,-1.5,0.0,SUNNY
2023-01-12,90001,Dubai,UAE,19.9,12.0,0.0,PARTLY_CLOUDY
2023-01-12,90002,Dubai,UAE,20.2,12.6,0.4,CLOUDY
2023-01-12,90003,Abu Dhabi,UAE,31.9,25.9,0.0,PARTLY_CLOUDY
2023-01-12,95001,Singapore,Singapore,27.7,17.8,2.4,CLOUDY
2023-01-12,95002,Singapore,Singapore,29.1,20.3,0.0,SUNNY
2023-01-13,33487,Kolkata,India,25.1,18.4,1.6,CLOUDY
2023-01-13,39876,Mumbai,India,27.2,17.8,7.4,RAINY
2023-01-13,41203,Delhi,India,19.7,12.7,1.3,CLOUDY
2023-01-13,44512,Bangalore,India,23.9,17.6,0.0,SUNNY
2023-01-13,47889,Chennai,India,27.5,18.8,2.6,CLOUDY
2023-01-13,51234,Hyderabad,India,22.2,12.8,0.0,PARTLY_CLOUDY
2023-01-13,53901,Kochi,India,27.1,21.6,11.2,RAINY
2023-01-13,56123,Bangalore,India,24.8,18.9,1.4,CLOUDY
2023-01-13,58745,Ahmedabad,India,22.9,11.0,0.0,SUNNY
2023-01-13,62003,Delhi,India,19.3,8.6,6.3,RAINY
2023-01-13,64301,Chandigarh,India,12.3,5.9,1.2,CLOUDY
2023-01-13,66782,Mumbai,India,25.2,18.9,19.2,RAINY
2023-01-13,70001,Los Angeles,USA,15.0,7.4,0.0,SUNNY
2023-01-13,70002,Minneapolis,USA,-7.2,-15.3,0.0,SNOWY
2023-01-13,70003,Dallas,USA,11.4,3.8,0.0,PARTLY_CLOUDY
2023-01-13,70004,Washington DC,USA,8.7,-1.9,0.0,SUNNY
2023-01-13,70005,Philadelphia,USA,12.8,6.5,0.5,CLOUDY
2023-01-13,80001,London,UK,10.5,3.4,0.0,SUNNY
2023-01-13,80002,London,UK,10.5,3.0,0.2,CLOUDY
2023-01-13,80003,Manchester,UK,6.7,-0.8,0.0,SUNNY
2023-01-13,80004,Sheffield,UK,4.5,-6.4,0.0,SNOWY
2023-01-13,90001,Dubai,UAE,19.8,13.9,0.0,SUNNY
2023-01-13,90002,Dubai,UAE,21.6,12.6,0.0,SUNNY
2023-01-13,90003,Abu Dhabi,UAE,21.9,13.8,0.0,PARTLY_CLOUDY
2023-01-13,95001,Singapore,Singapore,27.4,18.7,10.2,RAINY
2023-01-13,95002,Singapore,Singapore,32.2,26.4,0.0,PARTLY_CLOUDY
2023-01-14,33487,Kolkata,India,27.8,22.0,0.0,SUNNY
2023-01-14,39876,Mumbai,India,25.0,16.9,0.0,PARTLY_CLOUDY
2023-01-14,41203,Delhi,India,19.0,12.6,4.7,CLOUDY
2023-01-14,44512,Bangalore,India,34.6,23.9,0.0,PARTLY_CLOUDY
2023-01-14,47889,Chennai,India,29.1,20.3,1.9,CLOUDY
2023-01-14,51234,Hyderabad,India,27.5,17.5,0.0,SUNNY
2023-01-14,53901,Kochi,India,28.3,22.5,1.8,CLOUDY
2023-01-14,56123,Bangalore,India,25.6,20.4,0.0,PARTLY_CLOUDY
2023-01-14,58745,Ahmedabad,India,31.2,25.3,0.0,SUNNY
2023-01-14,62003,Delhi,India,16.3,9.1,0.0,SUNNY
2023-01-14,64301,Chandigarh,India,16.1,8.2,0.0,SUNNY
2023-01-14,66782,Mumbai,India,24.5,12.7,5.5,RAINY
2023-01-14,70001,Los Angeles,USA,18.6,8.1,0.0,SUNNY
2023-01-14,70002,Minneapolis,USA,-2.2,-12.6,2.2,CLOUDY
2023-01-14,70003,Dallas,USA,12.4,6.3,0.0,SUNNY
2023-01-14,70004,Washington DC,USA,3.4,-4.0,0.0,SUNNY
2023-01-14,70005,Philadelphia,USA,1.0,-7.9,1.5,CLOUDY
2023-01-14,80001,London,UK,10.7,4.5,0.0,SUNNY
2023-01-14,80002,London,UK,7.7,-3.6,0.0,SUNNY
2023-01-14,80003,Manchester,UK,8.9,3.6,0.0,SUNNY
2023-01-14,80004,Sheffield,UK,9.5,0.5,0.0,SUNNY
2023-01-14,90001,Dubai,UAE,20.6,12.7,0.0,PARTLY_CLOUDY
2023-01-14,90002,Dubai,UAE,22.9,13.4,0.0,SUNNY
2023-01-14,90003,Abu Dhabi,UAE,22.2,11.6,0.0,PARTLY_CLOUDY
2023-01-14,95001,Singapore,Singapore,32.9,26.8,5.3,RAINY
2023-01-14,95002,Singapore,Singapore,28.8,22.8,0.0,PARTLY_CLOUDY
2023-01-15,33487,Kolkata,India,19.8,8.0,2.8,CLOUDY
