rate_date,from_currency,to_currency,rate
2023-02-09,AED,USD,0.272431
2023-02-09,SGD,USD,0.752501
2023-02-09,USD,USD,1.0
2023-02-10,INR,USD,0.01229
2023-02-10,GBP,USD,1.199518
2023-02-10,AED,USD,0.272436
2023-02-10,SGD,USD,0.75712
2023-02-10,USD,USD,1.0
2023-02-11,INR,USD,0.012296
2023-02-11,GBP,USD,1.197715
2023-02-11,AED,USD,0.272438
2023-02-11,SGD,USD,0.760321
2023-02-11,USD,USD,1.0
2023-02-12,INR,USD,0.012299
2023-02-12,GBP,USD,1.200839
2023-02-12,AED,USD,0.272459
2023-02-12,SGD,USD,0.759228
2023-02-12,USD,USD,1.0
2023-02-13,INR,USD,0.012245
2023-02-13,GBP,USD,1.202637
2023-02-13,AED,USD,0.272463
2023-02-13,SGD,USD,0.757933
2023-02-13,USD,USD,1.0
2023-02-14,INR,USD,0.012271
2023-02-14,GBP,USD,1.206309
2023-02-14,AED,USD,0.272446
2023-02-14,SGD,USD,0.759059
2023-02-14,USD,USD,1.0
2023-02-15,INR,USD,0.012264
2023-02-15,GBP,USD,1.197312
2023-02-15,AED,USD,0.272453
2023-02-15,SGD,USD,0.758974
2023-02-15,USD,USD,1.0
2023-02-16,INR,USD,0.01224
2023-02-16,GBP,USD,1.200456
2023-02-16,AED,USD,0.272462
2023-02-16,SGD,USD,0.757744
2023-02-16,USD,USD,1.0
2023-02-17,INR,USD,0.012251
2023-02-17,GBP,USD,1.206598
2023-02-17,AED,USD,0.27245
2023-02-17,SGD,USD,0.758575
2023-02-17,USD,USD,1.0
2023-02-18,INR,USD,0.012251
2023-02-18,GBP,USD,1.22044
2023-02-18,AED,USD,0.272418
2023-02-18,SGD,USD,0.760083
2023-02-18,USD,USD,1.0
2023-02-19,INR,USD,0.01224
2023-02-19,GBP,USD,1.219808
2023-02-19,AED,USD,0.27245
2023-02-19,SGD,USD,0.760077
2023-02-19,USD,USD,1.0
2023-02-20,INR,USD,0.012309
2023-02-20,GBP,USD,1.217078
2023-02-20,AED,USD,0.272456
2023-02-20,SGD,USD,0.759032
2023-02-20,USD,USD,1.0
2023-02-21,INR,USD,0.012286
2023-02-21,GBP,USD,1.217446
2023-02-21,AED,USD,0.272451
2023-02-21,SGD,USD,0.75948
2023-02-21,USD,USD,1.0
2023-02-22,INR,USD,0.01222
2023-02-22,GBP,USD,1.229778
2023-02-22,AED,USD,0.272449
2023-02-22,SGD,USD,0.763254
2023-02-22,USD,USD,1.0
2023-02-23,INR,USD,0.012188
2023-02-23,GBP,USD,1.231577
2023-02-23,AED,USD,0.272503
2023-02-23,SGD,USD,0.761386
2023-02-23,USD,USD,1.0
2023-02-24,INR,USD,0.012142
2023-02-24,GBP,USD,1.228174
2023-02-24,AED,USD,0.272511
2023-02-24,SGD,USD,0.762896
2023-02-24,USD,USD,1.0
2023-02-25,INR,USD,0.01218
2023-02-25,GBP,USD,1.226569
2023-02-25,AED,USD,0.272483
2023-02-25,SGD,USD,0.761968
2023-02-25,USD,USD,1.0
2023-02-26,INR,USD,0.012218
2023-02-26,GBP,USD,1.229435
2023-02-26,AED,USD,0.27245
2023-02-26,SGD,USD,0.761904
2023-02-26,USD,USD,1.0
2023-02-27,INR,USD,0.01226
2023-02-27,GBP,USD,1.242666
2023-02-27,AED,USD,0.272459
2023-02-27,SGD,USD,0.762585
2023-02-27,USD,USD,1.0
2023-02-28,INR,USD,0.012221
2023-02-28,GBP,USD,1.23738
2023-02-28,AED,USD,0.27246
2023-02-28,SGD,USD,0.763685
2023-02-28,USD,USD,1.0
2023-03-01,INR,USD,0.012238
2023-03-01,GBP,USD,1.234386
2023-03-01,AED,USD,0.272441
2023-03-01,SGD,USD,0.762015
2023-03-01,USD,USD,1.0
2023-03-02,INR,USD,0.012201
2023-03-02,GBP,USD,1.23838
2023-03-02,AED,USD,0.272401
2023-03-02,SGD,USD,0.761308
2023-03-02,USD,USD,1.0
2023-03-03,INR,USD,0.012214
2023-03-03,GBP,USD,1.247899
2023-03-03,AED,USD,0.272402
2023-03-03,SGD,USD,0.763484
2023-03-03,USD,USD,1.0
2023-03-04,INR,USD,0.012201
2023-03-04,GBP,USD,1.24321
2023-03-04,AED,USD,0.27239
2023-03-04,SGD,USD,0.766809
2023-03-04,USD,USD,1.0
2023-03-05,INR,USD,0.01223
2023-03-05,GBP,USD,1.246252
2023-03-05,AED,USD,0.272448
2023-03-05,SGD,USD,0.766751
2023-03-05,USD,USD,1.0
2023-03-06,INR,USD,0.012249
2023-03-06,GBP,USD,1.248169
2023-03-06,AED,USD,0.272444
2023-03-06,SGD,USD,0.771814
2023-03-06,USD,USD,1.0
2023-03-07,INR,USD,0.012294
2023-03-07,GBP,USD,1.239382
2023-03-07,AED,USD,0.272437
2023-03-07,SGD,USD,0.772764
2023-03-07,USD,USD,1.0
2023-03-08,INR,USD,0.012318
2023-03-08,GBP,USD,1.230972
2023-03-08,AED,USD,0.272398
2023-03-08,SGD,USD,0.768611
2023-03-08,USD,USD,1.0
2023-03-09,INR,USD,0.012315
2023-03-09,GBP,USD,1.230317
2023-03-09,AED,USD,0.272404
2023-03-09,SGD,USD,0.766948
2023-03-09,USD,USD,1.0
2023-03-10,INR,USD,0.012276
2023-03-10,GBP,USD,1.217822
2023-03-10,AED,USD,0.27241
2023-03-10,SGD,USD,0.767765
2023-03-10,USD,USD,1.0
2023-03-11,INR,USD,0.012306
2023-03-11,GBP,USD,1.222669
2023-03-11,AED,USD,0.272407
2023-03-11,SGD,USD,0.77072
2023-03-11,USD,USD,1.0
2023-03-12,INR,USD,0.0123
2023-03-12,GBP,USD,1.218589
2023-03-12,AED,USD,0.272398
2023-03-12,SGD,USD,0.769455
2023-03-12,USD,USD,1.0
2023-03-13,INR,USD,0.012233
2023-03-13,GBP,USD,1.219533
2023-03-13,AED,USD,0.272402
2023-03-13,SGD,USD,0.768677
2023-03-13,USD,USD,1.0
2023-03-14,INR,USD,0.01221
2023-03-14,GBP,USD,1.221805
2023-03-14,AED,USD,0.272431
2023-03-14,SGD,USD,0.768773
2023-03-14,USD,USD,1.0
2023-03-15,INR,USD,0.012193
2023-03-15,GBP,USD,1.218153
2023-03-15,AED,USD,0.27243
2023-03-15,SGD,USD,0.766034
2023-03-15,USD,USD,1.0
2023-03-16,INR,USD,0.012188
2023-03-16,GBP,USD,1.218514
2023-03-16,AED,USD,0.272462
2023-03-16,SGD,USD,0.768097
2023-03-16,USD,USD,1.0
2023-03-17,INR,USD,0.012219
2023-03-17,GBP,USD,1.214128
2023-03-17,AED,USD,0.272473
2023-03-17,SGD,USD,0.765633
2023-03-17,USD,USD,1.0
2023-03-18,INR,USD,0.012228
2023-03-18,GBP,USD,1.216677
2023-03-18,AED,USD,0.27246
2023-03-18,SGD,USD,0.769997
2023-03-18,USD,USD,1.0
2023-03-19,INR,USD,0.012245
2023-03-19,GBP,USD,1.205051
2023-03-19,AED,USD,0.27247
2023-03-19,SGD,USD,0.76912
2023-03-19,USD,USD,1.0
2023-03-20,INR,USD,0.012244
2023-03-20,GBP,USD,1.207868
2023-03-20,AED,USD,0.272476
2023-03-20,SGD,USD,0.764699
2023-03-20,USD,USD,1.0
2023-03-21,INR,USD,0.012207
2023-03-21,GBP,USD,1.212565
2023-03-21,AED,USD,0.272499
2023-03-21,SGD,USD,0.768848
2023-03-21,USD,USD,1.0
2023-03-22,INR,USD,0.012262
2023-03-22,GBP,USD,1.200053
2023-03-22,AED,USD,0.272512
2023-03-22,SGD,USD,0.764695
2023-03-22,USD,USD,1.0
2023-03-23,INR,USD,0.012311
2023-03-23,GBP,USD,1.201571
2023-03-23,AED,USD,0.272492
2023-03-23,SGD,USD,0.769076
2023-03-23,USD,USD,1.0
2023-03-24,INR,USD,0.01233
2023-03-24,GBP,USD,1.190159
2023-03-24,AED,USD,0.272497
2023-03-24,SGD,USD,0.767496
2023-03-24,USD,USD,1.0
2023-03-25,INR,USD,0.012332
2023-03-25,GBP,USD,1.187357
2023-03-25,AED,USD,0.272521
2023-03-25,SGD,USD,0.764418
2023-03-25,USD,USD,1.0
2023-03-26,INR,USD,0.012341
2023-03-26,GBP,USD,1.198247
2023-03-26,AED,USD,0.272507
2023-03-26,SGD,USD,0.764887
2023-03-26,USD,USD,1.0
2023-03-27,INR,USD,0.012347
2023-03-27,GBP,USD,1.194074
2023-03-27,AED,USD,0.272518
2023-03-27,SGD,USD,0.765109
2023-03-27,USD,USD,1.0
2023-03-28,INR,USD,0.012317
2023-03-28,GBP,USD,1.204709
2023-03-28,AED,USD,0.272531
2023-03-28,SGD,USD,0.764759
2023-03-28,USD,USD,1.0
2023-03-29,INR,USD,0.012296
2023-03-29,GBP,USD,1.199941
2023-03-29,AED,USD,0.272553
2023-03-29,SGD,USD,0.764453
2023-03-29,USD,USD,1.0
2023-03-30,INR,USD,0.012309
2023-03-30,GBP,USD,1.198811
2023-03-30,AED,USD,0.272563
2023-03-30,SGD,USD,0.764214
2023-03-30,USD,USD,1.0
2023-03-31,INR,USD,0.012332
2023-03-31,GBP,USD,1.19769
2023-03-31,AED,USD,0.272577
2023-03-31,SGD,USD,0.765684
2023-03-31,USD,USD,1.0
2023-04-01,INR,USD,0.012327
2023-04-01,GBP,USD,1.192496
2023-04-01,AED,USD,0.272561
2023-04-01,SGD,USD,0.76409
2023-04-01,USD,USD,1.0
2023-04-02,INR,USD,0.012296
2023-04-02,GBP,USD,1.197696
2023-04-02,AED,USD,0.27256
2023-04-02,SGD,USD,0.767511
2023-04-02,USD,USD,1.0
2023-04-03,INR,USD,0.012366
2023-04-03,GBP,USD,1.197827
2023-04-03,AED,USD,0.272534
2023-04-03,SGD,USD,0.766694
2023-04-03,USD,USD,1.0
2023-04-04,INR,USD,0.012363
2023-04-04,GBP,USD,1.18886
2023-04-04,AED,USD,0.27253
2023-04-04,SGD,USD,0.76733
2023-04-04,USD,USD,1.0
2023-04-05,INR,USD,0.012347
2023-04-05,GBP,USD,1.18425
2023-04-05,AED,USD,0.272517
2023-04-05,SGD,USD,0.771238
2023-04-05,USD,USD,1.0
2023-04-06,INR,USD,0.012341
2023-04-06,GBP,USD,1.179292
2023-04-06,AED,USD,0.27251
2023-04-06,SGD,USD,0.77334
2023-04-06,USD,USD,1.0
2023-04-07,INR,USD,0.012319
2023-04-07,GBP,USD,1.182145
2023-04-07,AED,USD,0.272523
2023-04-07,SGD,USD,0.774996
2023-04-07,USD,USD,1.0
2023-04-08,INR,USD,0.012362
2023-04-08,GBP,USD,1.178855
2023-04-08,AED,USD,0.272542
2023-04-08,SGD,USD,0.773268
2023-04-08,USD,USD,1.0
2023-04-09,INR,USD,0.012349
2023-04-09,GBP,USD,1.185967
2023-04-09,AED,USD,0.272556
2023-04-09,SGD,USD,0.773285
2023-04-09,USD,USD,1.0
2023-04-10,INR,USD,0.012311
2023-04-10,GBP,USD,1.189313
2023-04-10,AED,USD,0.272545
2023-04-10,SGD,USD,0.771275
2023-04-10,USD,USD,1.0
2023-04-11,INR,USD,0.01229
2023-04-11,GBP,USD,1.190777
2023-04-11,AED,USD,0.272509
2023-04-11,SGD,USD,0.772076
2023-04-11,USD,USD,1.0
2023-04-12,INR,USD,0.012294
2023-04-12,GBP,USD,1.187259
2023-04-12,AED,USD,0.272527
2023-04-12,SGD,USD,0.773428
2023-04-12,USD,USD,1.0
2023-04-13,INR,USD,0.012274
2023-04-13,GBP,USD,1.183242
2023-04-13,AED,USD,0.272539
2023-04-13,SGD,USD,0.770123
2023-04-13,USD,USD,1.0
2023-04-14,INR,USD,0.012263
2023-04-14,GBP,USD,1.17947
2023-04-14,AED,USD,0.27254
2023-04-14,SGD,USD,0.770596
2023-04-14,USD,USD,1.0
2023-04-15,INR,USD,0.012263
2023-04-15,GBP,USD,1.18622
2023-04-15,AED,USD,0.272544
2023-04-15,SGD,USD,0.769921
2023-04-15,USD,USD,1.0
2023-04-16,INR,USD,0.012225
2023-04-16,GBP,USD,1.190528
2023-04-16,AED,USD,0.272553
2023-04-16,SGD,USD,0.773106
2023-04-16,USD,USD,1.0
2023-04-17,INR,USD,0.012201
2023-04-17,GBP,USD,1.190671
2023-04-17,AED,USD,0.272552
2023-04-17,SGD,USD,0.772926
2023-04-17,USD,USD,1.0
2023-04-18,INR,USD,0.012201
2023-04-18,GBP,USD,1.180412
2023-04-18,AED,USD,0.272566
2023-04-18,SGD,USD,0.774371
2023-04-18,USD,USD,1.0
2023-04-19,INR,USD,0.012235
2023-04-19,GBP,USD,1.193856
2023-04-19,AED,USD,0.272561
2023-04-19,SGD,USD,0.774304
2023-04-19,USD,USD,1.0
2023-04-20,INR,USD,0.012234
2023-04-20,GBP,USD,1.205583
2023-04-20,AED,USD,0.272531
2023-04-20,SGD,USD,0.775383
2023-04-20,USD,USD,1.0
2023-04-21,INR,USD,0.012188
2023-04-21,GBP,USD,1.189985
2023-04-21,AED,USD,0.272496
2023-04-21,SGD,USD,0.772364
2023-04-21,USD,USD,1.0
2023-04-22,INR,USD,0.01222
2023-04-22,GBP,USD,1.184773
2023-04-22,AED,USD,0.272492
2023-04-22,SGD,USD,0.769833
2023-04-22,USD,USD,1.0
2023-04-23,INR,USD,0.012238
2023-04-23,GBP,USD,1.178197
2023-04-23,AED,USD,0.272515
2023-04-23,SGD,USD,0.767681
2023-04-23,USD,USD,1.0
2023-04-24,INR,USD,0.012213
2023-04-24,GBP,USD,1.178911
2023-04-24,AED,USD,0.272515
2023-04-24,SGD,USD,0.7708
2023-04-24,USD,USD,1.0
2023-04-25,INR,USD,0.012216
2023-04-25,GBP,USD,1.171742
2023-04-25,AED,USD,0.272506
2023-04-25,SGD,USD,0.769561
2023-04-25,USD,USD,1.0
2023-04-26,INR,USD,0.012237
2023-04-26,GBP,USD,1.173996
2023-04-26,AED,USD,0.272504
2023-04-26,SGD,USD,0.771473
2023-04-26,USD,USD,1.0
2023-04-27,INR,USD,0.01222
2023-04-27,GBP,USD,1.173175
2023-04-27,AED,USD,0.272507
2023-04-27,SGD,USD,0.774835
2023-04-27,USD,USD,1.0
2023-04-28,INR,USD,0.012216
2023-04-28,GBP,USD,1.171088
2023-04-28,AED,USD,0.272489
2023-04-28,SGD,USD,0.776355
2023-04-28,USD,USD,1.0
2023-04-29,INR,USD,0.012197
2023-04-29,GBP,USD,1.173103
2023-04-29,AED,USD,0.272456
2023-04-29,SGD,USD,0.778667
2023-04-29,USD,USD,1.0
2023-04-30,INR,USD,0.012156
2023-04-30,GBP,USD,1.168502
2023-04-30,AED,USD,0.272474
2023-04-30,SGD,USD,0.775739
2023-04-30,USD,USD,1.0
2023-05-01,INR,USD,0.012152
2023-05-01,GBP,USD,1.168924
2023-05-01,AED,USD,0.272457
2023-05-01,SGD,USD,0.77871
2023-05-01,USD,USD,1.0
2023-05-02,INR,USD,0.012197
2023-05-02,GBP,USD,1.157353
2023-05-02,AED,USD,0.272432
2023-05-02,SGD,USD,0.780509
2023-05-02,USD,USD,1.0
2023-05-03,INR,USD,0.012156
2023-05-03,GBP,USD,1.155074
2023-05-03,AED,USD,0.272435
2023-05-03,SGD,USD,0.782053
2023-05-03,USD,USD,1.0
2023-05-04,INR,USD,0.012149
2023-05-04,GBP,USD,1.155613
2023-05-04,AED,USD,0.272421
2023-05-04,SGD,USD,0.784936
2023-05-04,USD,USD,1.0
2023-05-05,INR,USD,0.012133
2023-05-05,GBP,USD,1.157579
2023-05-05,AED,USD,0.272412
2023-05-05,SGD,USD,0.785185
2023-05-05,USD,USD,1.0
2023-05-06,INR,USD,0.012127
2023-05-06,GBP,USD,1.156617
2023-05-06,AED,USD,0.272395
2023-05-06,SGD,USD,0.786972
2023-05-06,USD,USD,1.0
2023-05-07,INR,USD,0.012169
2023-05-07,GBP,USD,1.15802
2023-05-07,AED,USD,0.272408
2023-05-07,SGD,USD,0.788856
2023-05-07,USD,USD,1.0
2023-05-08,INR,USD,0.012197
2023-05-08,GBP,USD,1.159777
2023-05-08,AED,USD,0.272411
2023-05-08,SGD,USD,0.790803
2023-05-08,USD,USD,1.0
2023-05-09,INR,USD,0.012198
2023-05-09,GBP,USD,1.154084
2023-05-09,AED,USD,0.272412
2023-05-09,SGD,USD,0.786594
2023-05-09,USD,USD,1.0
2023-05-10,INR,USD,0.012197
2023-05-10,GBP,USD,1.156476
2023-05-10,AED,USD,0.272433
2023-05-10,SGD,USD,0.786944
2023-05-10,USD,USD,1.0
2023-05-11,INR,USD,0.012224
2023-05-11,GBP,USD,1.156458
2023-05-11,AED,USD,0.272415
2023-05-11,SGD,USD,0.783814
2023-05-11,USD,USD,1.0
2023-05-12,INR,USD,0.012194
2023-05-12,GBP,USD,1.148509
2023-05-12,AED,USD,0.272426
2023-05-12,SGD,USD,0.783365
2023-05-12,USD,USD,1.0
2023-05-13,INR,USD,0.01221
2023-05-13,GBP,USD,1.14892
2023-05-13,AED,USD,0.272444
2023-05-13,SGD,USD,0.785735
2023-05-13,USD,USD,1.0
2023-05-14,INR,USD,0.012189
2023-05-14,GBP,USD,1.147318
2023-05-14,AED,USD,0.272435
2023-05-14,SGD,USD,0.782145
2023-05-14,USD,USD,1.0
2023-05-15,INR,USD,0.012209
2023-05-15,GBP,USD,1.154198
2023-05-15,AED,USD,0.272435
2023-05-15,SGD,USD,0.781064
2023-05-15,USD,USD,1.0
2023-05-16,INR,USD,0.012242
2023-05-16,GBP,USD,1.140624
2023-05-16,AED,USD,0.272438
2023-05-16,SGD,USD,0.781394
2023-05-16,USD,USD,1.0
2023-05-17,INR,USD,0.012223
2023-05-17,GBP,USD,1.148636
2023-05-17,AED,USD,0.272455
2023-05-17,SGD,USD,0.780828
2023-05-17,USD,USD,1.0
2023-05-18,INR,USD,0.01222
2023-05-18,GBP,USD,1.146378
2023-05-18,AED,USD,0.272446
2023-05-18,SGD,USD,0.77795
2023-05-18,USD,USD,1.0
2023-05-19,INR,USD,0.012261
2023-05-19,GBP,USD,1.152317
2023-05-19,AED,USD,0.272459
2023-05-19,SGD,USD,0.775553
2023-05-19,USD,USD,1.0
2023-05-20,INR,USD,0.012325
2023-05-20,GBP,USD,1.163859
2023-05-20,AED,USD,0.272463
2023-05-20,SGD,USD,0.77358
2023-05-20,USD,USD,1.0
2023-05-21,INR,USD,0.012297
2023-05-21,GBP,USD,1.166302
2023-05-21,AED,USD,0.272447
2023-05-21,SGD,USD,0.773517
2023-05-21,USD,USD,1.0
2023-05-22,INR,USD,0.01233
2023-05-22,GBP,USD,1.157464
2023-05-22,AED,USD,0.272481
2023-05-22,SGD,USD,0.776972
2023-05-22,USD,USD,1.0
2023-05-23,INR,USD,0.012291
2023-05-23,GBP,USD,1.149233
2023-05-23,AED,USD,0.272477
2023-05-23,SGD,USD,0.774717
2023-05-23,USD,USD,1.0
2023-05-24,INR,USD,0.012282
2023-05-24,GBP,USD,1.134366
2023-05-24,AED,USD,0.272473
2023-05-24,SGD,USD,0.778699
2023-05-24,USD,USD,1.0
2023-05-25,INR,USD,0.012246
2023-05-25,GBP,USD,1.132792
2023-05-25,AED,USD,0.272447
2023-05-25,SGD,USD,0.780121
2023-05-25,USD,USD,1.0
2023-05-26,INR,USD,0.012238
2023-05-26,GBP,USD,1.143911
2023-05-26,AED,USD,0.272451
2023-05-26,SGD,USD,0.779311
2023-05-26,USD,USD,1.0
2023-05-27,INR,USD,0.012255
2023-05-27,GBP,USD,1.140982
2023-05-27,AED,USD,0.272428
2023-05-27,SGD,USD,0.77999
2023-05-27,USD,USD,1.0
2023-05-28,INR,USD,0.012248
2023-05-28,GBP,USD,1.141924
2023-05-28,AED,USD,0.272434
2023-05-28,SGD,USD,0.778875
2023-05-28,USD,USD,1.0
2023-05-29,INR,USD,0.01226
2023-05-29,GBP,USD,1.151953
2023-05-29,AED,USD,0.272415
2023-05-29,SGD,USD,0.782733
2023-05-29,USD,USD,1.0
2023-05-30,INR,USD,0.012252
2023-05-30,GBP,USD,1.147497
2023-05-30,AED,USD,0.272457
2023-05-30,SGD,USD,0.78309
2023-05-30,USD,USD,1.0
2023-05-31,INR,USD,0.012293
2023-05-31,GBP,USD,1.15222
2023-05-31,AED,USD,0.272428
2023-05-31,SGD,USD,0.78337
2023-05-31,USD,USD,1.0
2023-06-01,INR,USD,0.012276
2023-06-01,GBP,USD,1.144441
2023-06-01,AED,USD,0.272397
2023-06-01,SGD,USD,0.78361
2023-06-01,USD,USD,1.0
2023-06-02,INR,USD,0.012294
2023-06-02,GBP,USD,1.146681
2023-06-02,AED,USD,0.272392
2023-06-02,SGD,USD,0.78185
2023-06-02,USD,USD,1.0
2023-06-03,INR,USD,0.012262
2023-06-03,GBP,USD,1.143463
